#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
14806.412836,5000,3117.357949
14815.052419,5000,3122.85371
14818.216745,5000,3127.455319
14818.404303,5000,3132.10391
14815.577082,5000,3137.555993
14815.328888,5000,3142.188333
14816.911344,5000,3147.74034
14821.189463,5000,3152.349821
14820.709099,5000,3157.798422
14817.938142,5000,3162.423656
14811.841831,5000,3167.812127
14809.218549,5000,3172.480962
14825.030731,5000,3177.133868
14813.053722,5000,3182.653113
14826.670221,5000,3187.332026
14813.520827,5000,3192.842047
14819.228403,5000,3197.785139
14819.129117,5000,3203.181356
14799.395983,5000,3207.747251
14805.26808,5000,3213.117475
14807.748002,5000,3217.679206
14811.508905,5000,3222.338007
14809.489031,5000,3227.822515
14809.331287,5000,3232.455462
14806.293704,5000,3237.93653
14812.577076,5000,3242.585188
14809.763036,5000,3248.06608
14799.272176,5000,3252.688514
14808.592511,5000,3258.132776
14822.78535,5000,3262.77002
14820.605669,5000,3267.370642
14819.992223,5000,3272.886358
14816.622804,5000,3277.500174
14823.765632,5000,3282.950014
14825.35587,5000,3287.647051
14825.620043,5000,3293.201478
14818.110321,5000,3297.830875
14821.555476,5000,3302.644688
14812.357617,5000,3308.537233
14810.303428,5000,3313.145845
14812.432213,5000,3318.565424
14806.258361,5000,3323.216161
14821.501115,5000,3328.867847
14813.575831,5000,3333.789664
14818.48105,5000,3339.759391
14815.270724,5000,3344.478667
14815.736167,5000,3349.128178
14820.145401,5000,3354.65077
14818.10053,5000,3359.352544
14817.342844,5000,3364.803899
14816.169033,5000,3369.464906
14812.770186,5000,3375.029074
14811.842429,5000,3379.665674
14809.228232,5000,3385.157795
14803.123278,5000,3389.87427
14805.725324,5000,3394.586579
14801.833446,5000,3400.14781
14793.076291,5000,3404.90776
14778.799309,5000,3410.49765
14789.272111,5000,3415.22491
14802.297968,5000,3420.789149
14779.854246,5000,3425.480356
14787.249279,5000,3430.963128
14792.601247,5000,3435.699134
14788.375344,5000,3440.394477
14798.879669,5000,3445.937028
14767.775423,5000,3450.743821
14770.451762,5000,3456.310627
14789.275921,5000,3460.983104
14763.45032,5000,3466.591259
14770.428106,5000,3471.220628
14785.080998,5000,3476.75242
14794.652283,5000,3481.52697
14776.110273,5000,3486.169624
14770.968022,5000,3491.933935
14764.461214,5000,3496.568995
14767.711294,5000,3502.153855
14768.907917,5000,3506.884274
14763.943684,5000,3512.48128
14775.924331,5000,3517.161411
14790.690839,5000,3521.837274
14794.204783,5000,3527.441016
14772.697424,5000,3532.100059
14784.156979,5000,3537.765359
14745.159987,5000,3542.494481
14753.857965,5000,3548.09968
14772.670349,5000,3552.773391
14767.231633,5000,3558.387365
14767.447255,5000,3563.094132
14775.447174,5000,3567.733141
14765.270406,5000,3573.256101
14784.436864,5000,3577.91608
14772.330247,5000,3583.502498
14789.571771,5000,3588.221986
14777.923768,5000,3593.804949
14784.726752,5000,3598.449868
14794.277964,5000,3603.981038
14771.667126,5000,3608.617515
14742.57574,5000,3613.18552
14779.951082,5000,3618.722139
14775.400808,5000,3623.296413
14738.347619,5000,3628.778119
14770.714311,5000,3633.484662
14776.066264,5000,3638.979897
14764.753884,5000,3643.587557
14766.668883,5000,3649.18756
14753.121378,5000,3653.919444
14760.541771,5000,3658.524276
14774.967909,5000,3664.061179
14772.292813,5000,3668.750639
14782.346833,5000,3674.2776
14773.903684,5000,3678.954868
14750.442827,5000,3684.506204
14755.41856,5000,3689.169948
14770.557755,5000,3693.845787
14772.812613,5000,3699.388037
14767.871714,5000,3704.003118
14779.478645,5000,3709.548731
14761.665552,5000,3714.195258
14761.643301,5000,3719.823205
14749.665266,5000,3724.447865
14750.525808,5000,3729.997897
14775.945804,5000,3734.711534
14753.335754,5000,3739.373484
14759.045562,5000,3745.082494
14761.656467,5000,3749.795638
14763.215832,5000,3755.389089
14765.107416,5000,3760.099741
14762.381208,5000,3765.758205
14760.880682,5000,3770.401872
14763.250299,5000,3775.929093
14750.933491,5000,3780.661278
14779.963612,5000,3785.318124
14773.110524,5000,3790.858263
14773.509478,5000,3795.480275
14757.280933,5000,3801.076004
14757.690593,5000,3805.767918
14775.490874,5000,3811.344466
14764.555019,5000,3816.019437
14760.561848,5000,3821.428955
14753.33021,5000,3826.103692
14775.89678,5000,3830.714739
14767.350522,5000,3836.194927
14781.800916,5000,3840.812201
14762.657799,5000,3846.352393
14762.798814,5000,3851.012449
14775.67471,5000,3856.525747
14761.391643,5000,3861.131372
14776.374859,5000,3865.790072
14768.16125,5000,3871.301456
14764.248985,5000,3875.930946
14772.243334,5000,3881.447252
14779.481209,5000,3886.080258
14770.00045,5000,3891.621551
14780.690212,5000,3896.298384
14793.138372,5000,3901.758237
14775.822536,5000,3906.381177
14748.453052,5000,3910.93099
14779.731556,5000,3916.42655
14757.094496,5000,3921.017752
14777.754492,5000,3926.551101
14781.926656,5000,3931.12379
14771.61457,5000,3936.605815
14778.607088,5000,3941.168863
14763.520671,5000,3946.611874
14773.946626,5000,3951.221337
14776.25373,5000,3955.838568
14789.277957,5000,3961.329439
14780.458562,5000,3965.927403
14784.627104,5000,3971.430727
14795.457745,5000,3976.03091
14783.670821,5000,3981.550667
14772.803629,5000,3986.198986
14780.687577,5000,3991.813162
14785.995971,5000,3996.601314
14784.470263,5000,4001.321255
14769.060898,5000,4006.953935
14772.354134,5000,4011.624136
14771.728088,5000,4017.328712
14771.328245,5000,4022.044545
14780.965039,5000,4027.715643
14769.635092,5000,4032.40881
14777.293028,5000,4037.08234
14769.696872,5000,4042.671088
14775.199378,5000,4047.459487
14773.726031,5000,4053.144773
14769.923466,5000,4057.90102
14777.831862,5000,4063.60726
14778.17383,5000,4068.281901
14784.850382,5000,4073.887748
14780.153423,5000,4078.666618
14779.771865,5000,4083.344882
14772.555373,5000,4089.063712
14780.369947,5000,4093.77947
14765.794057,5000,4099.381962
14775.220858,5000,4104.089454
14776.772614,5000,4109.790743
14781.053302,5000,4114.461159
14781.970369,5000,4120.134307
14776.385971,5000,4124.985789
14766.910758,5000,4129.755771
14779.000364,5000,4135.388162
14777.355472,5000,4140.113498
